Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0256565407097255,-0.0927962665591914,-0.107673119403125,0,0,0,3.42380866610349,0.00804133201134247,-4.59293582871005E-06,0.00018780021138458,0.013557067485748,3.85040670673254E-06,0.0125180978858311,0,0,0,0,0,0,package://export5/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://export5/meshes/base_link.STL,,palm.stp-1;Inventor wrist.sat-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ThumbL1,-0.00116215938584538,0.0573980209021,0.0130345346076818,0,0,0,0.0160938232340567,4.82391090636513E-06,2.84402504211662E-07,-1.49887567721572E-07,9.89860795091055E-07,4.00426578308746E-08,4.17534491100527E-06,0,0,0,0,0,0,package://export5/meshes/ThumbL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/ThumbL1.STL,,thumbL1.sat-1,Origin_Thumb_J1_palm,Axis_Thumb_J1_palm,Thumb_J1_palm,revolute,0.0253704940670463,-0.107730311468469,-0.00564602169271088,1.36904942480943,0.835713305810846,-0.290192523798073,base_link,0.0696339767603201,-0.997572608525587,0,0,1,0,1.58,,,,,,,,
ThumbL2,0.00984172799621766,0.00950940348832564,0.0205719590920846,0,0,0,0.0104393141676268,7.72201823158381E-07,-1.69484840963532E-08,-8.43759114315331E-08,7.77475612919456E-07,-2.25662194748926E-08,5.00016280685962E-07,0,0,0,0,0,0,package://export5/meshes/ThumbL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/ThumbL2.STL,,thumbL2.sat-1,Origin_Thumb_J2_AA,Axis_Thumb_J2_AA,Thumb_J2_AA,revolute,0.0116011612623766,0.0714243203561624,0.0155920000826014,0.26621136450295,-0.382406486230405,2.06559118209411,ThumbL1,0.533983512123466,0.752625147265207,0.38524926539101,0,1,0,1.58,,,,,,,,
ThumbL3,0.0156326329367355,0.0126461640233561,0.0574819040555707,0,0,0,0.00960221577736359,1.24254398810311E-06,7.97168513479527E-08,-1.89970734891026E-07,1.16974540298146E-06,2.89060111800438E-07,5.27848773025217E-07,0,0,0,0,0,0,package://export5/meshes/ThumbL3.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/ThumbL3.STL,,ThumbL3.sat-1,Origin_Thumb_J3_FE1,Axis_Thumb_J3_FE1,Thumb_J3_FE1,revolute,0.0210282508749524,-0.0219666986100594,0.0128222251300471,-0.323401837524802,0.0594865698013315,0.499082256990666,ThumbL2,0.548878290339934,0.03800792096886,-0.835037735876131,0,1,0,1.58,,,,,,,,
ThumbL4_Tip,0.018018780834241,0.0660544692245074,-0.0128069951900333,0,0,0,0.00888392010965422,4.26652772160937E-07,2.64022497949971E-08,-4.16594760221796E-08,3.55264090745556E-07,6.44783527280813E-08,5.04426700755442E-07,0,0,0,0,0,0,package://export5/meshes/ThumbL4_Tip.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://export5/meshes/ThumbL4_Tip.STL,,ThumbL4.sat-1,Origin_Thumb_J3_FE2,Axis_Thumb_J3_FE2,Thumb_J3_FE2,revolute,0.0340761679604119,-0.0128797397280206,0.0218123515851108,1.83346470963881,-0.0797212817443392,2.46760407767054,ThumbL3,0.470351806777558,0.676018510829762,-0.567246111380763,0,1,0,1.58,,,,,,,,
IndexL1,-0.0110036077611168,0.00200680379762941,-0.0297326430566324,0,0,0,0.00948156720538571,1.23486015146193E-06,-2.08815385827281E-09,2.30676583172298E-08,1.25267470082058E-06,1.29542869448047E-08,3.64578884958658E-07,0,0,0,0,0,0,package://export5/meshes/IndexL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/IndexL1.STL,,IndexL1.sat-1,Origin_Index_J1_FE,Axis_Index_J1_FE,Index_J1_FE,revolute,0.0728759784819037,-0.110053392519513,0.124865711151128,2.05610648406236,-0.197122708761004,3.14020353348554,base_link,1,0,0,0,1,0,1.58,,,,,,,,
IndexL2,-0.0100449021281075,-0.0485531309865669,-0.0528275886747484,0,0,0,0.00793319371044694,7.71405447074959E-07,-9.74049350697084E-10,-1.91095922570681E-08,7.82665157872115E-07,-6.79621467122645E-08,3.27795049653818E-07,0,0,0,0,0,0,package://export5/meshes/IndexL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/IndexL2.STL,,IndexL2.sat-1,Origin_Index_J2_FE,Axis_Index_J2_FE,Index_J2_FE,revolute,-0.00475302703995798,0.0416064416256316,-0.00501005631231227,0.190900346751885,0,0,IndexL1,1,0,0,0,1,0,1.58,,,,,,,,
IndexL3,-0.0286304841590055,0.0866508909843542,0.0209018321125838,0,0,0,0.00673176599479462,2.50188582390304E-07,-3.17896614497214E-08,1.88528917518108E-08,2.7060482534551E-07,-2.88755724101392E-08,2.42898614883715E-07,0,0,0,0,0,0,package://export5/meshes/IndexL3.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://export5/meshes/IndexL3.STL,,IndexL3.sat-1,Origin_Index_J3_FE,Axis_Index_J3_FE,Index_J3_FE,revolute,0,0.0205736699231283,-0.0252931793551903,-2.55340530146095,0.273914553484709,0.535024949097678,IndexL2,0.828185035535657,0.295063903767517,-0.476494322745064,0,1,0,1.58,,,,,,,,
MiddleL1,-0.011880008315849,-0.0071788239239669,-0.0327506433702228,0,0,0,0.0106218099339646,1.72397950128707E-06,4.98288735863391E-09,2.56429419919935E-08,1.65168377799189E-06,-3.30306477224266E-07,4.85956963503466E-07,0,0,0,0,0,0,package://export5/meshes/MiddleL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/MiddleL1.STL,,MiddleL1.sat-1,Origin_Middle_J1_FE,Axis_Middle_J1_FE,Middle_J1_FE,revolute,0.0437423488509242,-0.11000514327254,0.12644792794842,2.69942035733912,-0.0524037668900937,3.13989449923042,base_link,0.999999999250854,-3.34230441381843E-05,-1.95241509780389E-05,0,1,0,1.58,,,,,,,,
MiddleL2,-0.0124608744987204,-0.0515716339614584,-0.0162742831244383,0,0,0,0.00867664145866706,9.64644124622515E-07,-1.09494940033272E-08,-1.80361956894846E-08,7.60328965721153E-07,-3.06082045643428E-07,5.6373822416277E-07,0,0,0,0,0,0,package://export5/meshes/MiddleL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://export5/meshes/MiddleL2.STL,,MiddleL2.sat-1,Origin_Middle_J2_FE,Axis_Middle_J2_FE,Middle_J2_FE,revolute,-0.00299715546443679,0.0252338128043619,-0.0415509163921233,0.319244132162092,0,0,MiddleL1,0.999999999250854,-3.34230440799095E-05,-1.95241510214003E-05,0,1,0,1.58,,,,,,,,
