Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0125868867332789,0.113669899807915,-0.105312222618515,0,0,0,3.43325402443659,0.0134874842092205,3.20459845263992E-06,-4.7619761290438E-05,0.0080976636208784,-5.31558644221171E-05,0.0125334295907837,0,0,0,0,0,0,package://jamkit_model/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://jamkit_model/meshes/base_link.STL,,Inventor wrist.sat-1;palm.stp-1/Palm Large Cover.stp-1;palm.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ThumbL1,-0.0634521944115017,-0.171151845387954,0.0425644544245823,0,0,0,0.0160938361133641,4.06088685918226E-06,4.17485356290749E-07,9.73235195098429E-07,3.07797296542464E-06,-1.66759360188153E-06,2.85026746728776E-06,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL1.STL,,thumbL1.sat-1,Origin_Thumb_J1_palm,Axis_Thumb_J1_palm,Thumb_J1_palm,continuous,0.0253704940670463,-0.107730311468469,-0.00564602169271088,1.36904942480943,0.835713305810846,-0.290192523798073,base_link,0.0696339767603201,-0.997572608525587,0,0,0,0,1.58,,,,,,,,
ThumbL2,0.212224656362429,0.0610034648257019,0.100783225183638,0,0,0,0.0104393122392426,5.08693016959234E-07,-5.96987131440851E-08,-8.13751557778597E-08,7.6671714251033E-07,-7.11841944455385E-09,7.74283532735877E-07,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL2.STL,,thumbL2.sat-1,Origin_Thumb_J2_AA,Axis_Thumb_J2_AA,Thumb_J2_AA,continuous,0.0116011612623766,0.0714243203561624,0.0155920000826014,0.26621136450295,-0.382406486230405,2.06559118209411,ThumbL1,0.533983512123466,0.752625147265207,0.38524926539101,,,,,,,,,,,,
ThumbL3,0.226664410413268,0.139654797911905,-0.134484913965397,0,0,0,0.00960222096680699,7.92432313231978E-07,-2.03198918484549E-07,4.11456687638549E-07,1.20875552539606E-06,1.59692074920335E-07,9.3895104649216E-07,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL3.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL3.STL,,ThumbL3.sat-1,Origin_Thumb_J3_FE1,Axis_Thumb_J3_FE1,Thumb_J3_FE1,continuous,0.0210282508749524,-0.0219666986100594,0.0128222251300471,-0.323401837524802,0.0594865698013315,0.499082256990666,ThumbL2,0.548878290339934,0.03800792096886,-0.835037735876131,,,,,,,,,,,,
ThumbL4_Tip,-0.0236852401179448,-0.29849653912361,0.20677956819612,0,0,0,0.00888392087443115,4.05056022150744E-07,6.28939284109876E-08,-7.22078840132566E-09,3.80046406366864E-07,-6.36696721583212E-08,5.01241141192921E-07,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL4_Tip.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://jamkit_model/meshes/ThumbL4_Tip.STL,,ThumbL4.sat-1,Origin_Thumb_J3_FE2,Axis_Thumb_J3_FE2,Thumb_J3_FE2,continuous,0.0340761679604119,-0.0128797397280206,0.0218123515851108,1.83346470963881,-0.0797212817443392,2.46760407767054,ThumbL3,0.470351806777558,0.676018510829762,-0.567246111380763,,,,,,,,,,,,
IndexL1,0.0631972366864129,-0.0829101031090376,-0.00398393536565592,0,0,0,0.00948156663496193,1.2108639585088E-06,-1.36413701841388E-07,4.81856259886452E-08,4.92766977264363E-07,2.81527263382953E-07,1.14848270579912E-06,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL1.STL,,IndexL1.sat-1,Origin_Index_J1_FE,Axis_Index_J1_FE,Index_J1_FE,continuous,0.0728759784819037,-0.110053392519513,0.124865711151128,2.05610648406236,-0.197122708761004,3.14020353348554,base_link,1,0,0,,,,,,,,,,,,
IndexL2,0.136720693219606,-0.149777315985515,-0.0589831918965754,0,0,0,0.00793319204268229,7.59940668848812E-07,-7.10700820025465E-08,-1.88356972133947E-08,3.55388225059571E-07,-1.06887758256667E-07,7.66536605386225E-07,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL2.STL,,IndexL2.sat-1,Origin_Index_J2_FE,Axis_Index_J2_FE,Index_J2_FE,continuous,-0.00475302703995798,0.0416064416256316,-0.00501005631231227,0.190900346751885,0,0,IndexL1,1,0,0,,,,,,,,,,,,
IndexL3,-0.0882372743341382,-0.0514278495126252,-0.174610354230937,0,0,0,0.00673176646979381,3.02147050077956E-07,-2.22550993487946E-08,1.31732705106688E-08,2.33619642899847E-07,-5.57125745642576E-09,2.27925331744987E-07,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL3.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://jamkit_model/meshes/IndexL3.STL,,IndexL3.sat-1,Origin_Index_J3_FE,Axis_Index_J3_FE,Index_J3_FE,continuous,0,0.020574,-0.025293,-2.5534,0.27391,0.53502,IndexL2,0.82819,0.29506,-0.47649,,,,,,,,,,,,
MiddleL1,0.0203411230640925,-0.0290535831411617,-0.00347519126435797,0,0,0,0.0106218097539514,1.72457219135303E-06,-1.16694544883697E-08,7.77612830776384E-10,4.92479740968345E-07,3.4228956621749E-07,1.64456828351954E-06,0,0,0,0,0,0,package://jamkit_model/meshes/MiddleL1.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/MiddleL1.STL,,MiddleL1.sat-1,Origin_Middle_J1_FE,Axis_Middle_J1_FE,Middle_J1_FE,continuous,0.0437423488509242,-0.11000514327254,0.12644792794842,2.69942035733912,-0.0524037668900937,3.13989449923042,base_link,0.999999999250854,-3.34230441381843E-05,-1.95241509780389E-05,0,0,0,,,,,,,,,
MiddleL2,0.029587018565282,-0.0351885983842045,0.112321655776344,0,0,0,0.0086766412959544,9.65167046235499E-07,-3.61429222869703E-09,-4.93148283750521E-09,8.46016613472243E-07,-2.63915778063169E-07,4.77527660197059E-07,0,0,0,0,0,0,package://jamkit_model/meshes/MiddleL2.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://jamkit_model/meshes/MiddleL2.STL,,MiddleL2.sat-1,Origin_Middle_J2_FE,Axis_Middle_J2_FE,Middle_J2_FE,continuous,-0.0029972,0.025234,-0.041551,0.31924,0,0,MiddleL1,1,-3.3423E-05,-1.9524E-05,,,,,,,,,,,,
